City_ID,City,Country,Lat,Lng,Max Temp,Current Description,Hotel Name
6,Iqaluit,CA,63.7506,-68.5145,33.53,broken clouds,Frobisher Inn
8,Qaanaaq,GL,77.484,-69.3632,37.49,overcast clouds,Qaanaaq Hotel
12,Goderich,CA,43.7501,-81.7165,49.21,overcast clouds,Harmony Inn
17,Vardo,NO,70.3705,31.1107,37.42,broken clouds,Vardø Hotel AS
19,Nanortalik,GL,60.1432,-45.2371,43.03,scattered clouds,Hotel Kap Farvel
21,Mount Gambier,AU,-37.8333,140.7667,49.91,overcast clouds,Commodore on the Park
24,Mataura,NZ,-46.1927,168.8643,49.48,light rain,Ellie's Villa
25,Bluff,NZ,-46.6,168.3333,49.8,overcast clouds,Bluff Homestead - Guesthouse & Campervan Park
32,Tasiilaq,GL,65.6145,-37.6368,41.16,overcast clouds,The Red House
37,Hobart,AU,-42.8794,147.3294,46.92,scattered clouds,Mantra on Collins Hobart
38,Barrow,US,71.2906,-156.7887,33.82,overcast clouds,King Eider Inn
41,Olafsvik,IS,64.8945,-23.7142,46.24,clear sky,Hotel Olafsvik
43,Punta Arenas,CL,-53.15,-70.9167,28.51,clear sky,Hotel Dreams Del Estrecho
49,Krasnoselkup,RU,65.7,82.4667,28.31,overcast clouds,Krasnosel'kupnefteprodukt
54,Pevek,RU,69.7008,170.3133,37.58,broken clouds,Hotel ABC
56,Ushuaia,AR,-54.8,-68.3,29.86,light snow,Albatros Hotel
64,Matagami,CA,49.7502,-77.6328,33.91,overcast clouds,Hôtel Matagami
69,Magadan,RU,59.5667,150.8,39.0,overcast clouds,Magadan hotel
72,Upernavik,GL,72.7868,-56.1549,33.75,broken clouds,Gina's Guesthouse - Upernavik
86,Clyde River,CA,70.4692,-68.5914,28.63,overcast clouds,Qamaq Hotel
87,Vestmannaeyjar,IS,63.4427,-20.2734,45.34,broken clouds,Glamping & Camping
95,Povenets,RU,62.8487,34.8262,42.06,clear sky,Eko Otel' Bol'shaya Medveditsa
100,New Norfolk,AU,-42.7826,147.0587,46.58,scattered clouds,The Shingles Riverside Cottages
105,Sorland,NO,67.667,12.6934,44.37,overcast clouds,Sjybrygga fiskecamp
106,Rio Gallegos,AR,-51.6226,-69.2181,30.25,broken clouds,Hotel Santa Cruz
109,Tuatapere,NZ,-46.1333,167.6833,49.82,overcast clouds,Ron and Tony's Bed & Breakfast
119,Klaksvik,FO,62.2266,-6.589,43.72,broken clouds,Airbnb rooms
120,Tornio,FI,65.8481,24.1466,37.42,broken clouds,Park Hotel Tornio
122,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,broken clouds,End of The Road Ltd.
136,Erenhot,CN,43.6475,111.9767,49.8,clear sky,Erenhot Rurouni Youth Hostel
138,Brae,GB,60.3964,-1.353,46.31,scattered clouds,Busta House Hotel
140,Port-Cartier,CA,50.0334,-66.8654,44.82,broken clouds,Le Q'Artier
142,Aklavik,CA,68.2191,-135.0107,34.63,broken clouds,Aklavik Inn
151,Sitka,US,57.0531,-135.33,49.89,overcast clouds,Westmark Sitka
