City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Klyuchi,RU,2021-05-26 17:26:25,52.2667,79.1667,82.76,22,24,8.28
1,Aklavik,CA,2021-05-26 17:26:26,68.2191,-135.0107,34.52,74,90,13.8
2,Jamestown,US,2021-05-26 17:22:14,42.097,-79.2353,80.02,61,40,7.0
3,Albany,US,2021-05-26 17:26:21,42.6001,-73.9662,89.28,52,41,3.0
4,New Norfolk,AU,2021-05-26 17:26:26,-42.7826,147.0587,46.65,65,98,1.99
5,Ponta Delgada,PT,2021-05-26 17:26:26,37.7333,-25.6667,63.32,82,75,19.57
6,Cape Town,ZA,2021-05-26 17:26:26,-33.9258,18.4232,62.1,76,0,1.01
7,Manggar,ID,2021-05-26 17:26:27,-2.8833,108.2667,83.25,77,83,7.94
8,Mar Del Plata,AR,2021-05-26 17:26:27,-38.0023,-57.5575,63.12,57,0,15.01
9,Tiksi,RU,2021-05-26 17:26:27,71.6872,128.8694,31.66,98,85,1.74
10,Upernavik,GL,2021-05-26 17:23:01,72.7868,-56.1549,32.79,86,64,9.69
11,Ambovombe,MG,2021-05-26 17:26:28,-25.1667,46.0833,68.47,86,0,7.29
12,Palapye,BW,2021-05-26 17:26:28,-22.546,27.1251,63.52,30,28,4.63
13,Hermanus,ZA,2021-05-26 17:26:28,-34.4187,19.2345,60.91,83,90,2.91
14,Vaini,TO,2021-05-26 17:26:29,-21.2,-175.2,64.56,100,40,2.3
15,Rikitea,PF,2021-05-26 17:26:29,-23.1203,-134.9692,76.71,79,38,25.12
16,Alta Floresta,BR,2021-05-26 17:22:49,-9.8756,-56.0861,93.02,38,40,9.22
17,Rajura,IN,2021-05-26 17:26:29,19.7833,79.3667,96.82,25,100,12.91
18,Yellowknife,CA,2021-05-26 17:25:00,62.456,-114.3525,49.32,36,40,3.0
19,Ushuaia,AR,2021-05-26 17:26:30,-54.8,-68.3,31.62,93,90,17.27
20,Mabaruma,GY,2021-05-26 17:26:30,8.2,-59.7833,74.14,99,100,3.51
21,Hilo,US,2021-05-26 17:26:30,19.7297,-155.09,75.25,79,90,5.75
22,Eureka,US,2021-05-26 17:24:01,40.8021,-124.1637,61.66,85,36,3.0
23,Nouadhibou,MR,2021-05-26 17:26:30,20.931,-17.0347,71.58,64,1,24.16
24,Bluff,NZ,2021-05-26 17:26:31,-46.6,168.3333,40.6,84,56,10.4
25,Punta Arenas,CL,2021-05-26 17:26:31,-53.15,-70.9167,37.51,70,40,18.9
26,Iqaluit,CA,2021-05-26 17:22:06,63.7506,-68.5145,29.93,74,90,4.0
27,Mataura,NZ,2021-05-26 17:23:02,-46.1927,168.8643,33.44,85,36,3.27
28,Atuona,PF,2021-05-26 17:23:39,-9.8,-139.0333,78.89,73,33,11.88
29,San Quintin,MX,2021-05-26 17:26:32,30.4833,-115.95,67.86,61,33,8.03
30,Esperance,AU,2021-05-26 17:26:32,-33.8667,121.9,53.44,67,96,15.1
31,Port Elizabeth,ZA,2021-05-26 17:26:32,-33.918,25.5701,59.09,88,0,4.61
32,Avera,US,2021-05-26 17:26:32,33.194,-82.5271,92.71,38,42,6.15
33,Damaturu,NG,2021-05-26 17:26:33,11.747,11.9608,101.21,12,6,2.13
34,Kruisfontein,ZA,2021-05-26 17:26:33,-34.0033,24.7314,56.88,84,81,2.35
35,Victoria,HK,2021-05-26 17:25:01,22.2855,114.1577,86.32,84,68,1.99
36,Talnakh,RU,2021-05-26 17:26:33,69.4865,88.3972,15.84,96,30,4.72
37,Ilulissat,GL,2021-05-26 17:26:34,69.2167,-51.1,57.22,33,75,13.8
38,Pevek,RU,2021-05-26 17:26:34,69.7008,170.3133,24.69,87,15,1.88
39,Bengkulu,ID,2021-05-26 17:24:05,-3.8004,102.2655,78.1,84,100,4.63
40,Likasi,CD,2021-05-26 17:26:34,-10.9814,26.7333,58.82,61,1,2.3
41,Cidreira,BR,2021-05-26 17:26:35,-30.1811,-50.2056,66.34,48,0,6.02
42,Kushima,JP,2021-05-26 17:26:35,31.4583,131.2333,65.03,97,100,6.35
43,Mahebourg,MU,2021-05-26 17:25:05,-20.4081,57.7,73.69,88,75,3.44
44,Chegutu,ZW,2021-05-26 17:26:35,-18.1302,30.1407,60.73,28,0,1.74
45,Mandan,US,2021-05-26 17:26:36,46.8267,-100.8896,50.04,70,90,8.05
46,Deputatskiy,RU,2021-05-26 17:26:36,69.3,139.9,40.19,78,47,8.55
47,Carnarvon,AU,2021-05-26 17:26:36,-24.8667,113.6333,60.87,59,100,9.22
48,Vestmannaeyjar,IS,2021-05-26 17:26:36,63.4427,-20.2734,45.59,93,90,28.77
49,Guerrero Negro,MX,2021-05-26 17:26:37,27.9769,-114.0611,69.57,55,98,10.56
50,Kokopo,PG,2021-05-26 17:26:37,-4.352,152.2633,75.79,91,100,5.59
51,Jiuquan,CN,2021-05-26 17:26:37,39.7432,98.5174,70.59,16,0,11.56
52,Saldanha,ZA,2021-05-26 17:26:38,-33.0117,17.9442,57.25,80,89,6.51
53,Port Blair,IN,2021-05-26 17:23:58,11.6667,92.75,83.98,83,100,16.64
