City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lorengau,PG,-2.0226,147.2712,81.7,81,100,6.35,overcast clouds
1,Port Alfred,ZA,-33.5906,26.891,60.3,81,93,11.12,overcast clouds
2,East London,ZA,-33.0153,27.9116,63.19,77,72,11.9,broken clouds
3,Shenjiamen,CN,29.9576,122.298,69.08,94,100,14.14,overcast clouds
4,Nikolskoye,RU,59.7035,30.7861,52.39,98,84,6.46,broken clouds
5,Georgetown,MY,5.4112,100.3354,79.9,89,20,2.3,few clouds
6,Iqaluit,CA,63.7506,-68.5145,33.53,74,75,15.99,broken clouds
7,Hovd,MN,48.0056,91.6419,64.51,27,0,7.92,clear sky
8,Qaanaaq,GL,77.484,-69.3632,37.49,75,100,7.02,overcast clouds
9,Kilcullen,IE,53.1303,-6.7444,51.76,97,100,6.71,light rain
10,Lebu,CL,-37.6167,-73.65,53.55,86,1,9.33,clear sky
11,Albany,US,42.6001,-73.9662,67.17,48,43,1.01,scattered clouds
12,Goderich,CA,43.7501,-81.7165,49.21,66,100,8.05,overcast clouds
13,Chuy,UY,-33.6971,-53.4616,57.33,80,0,6.58,clear sky
14,Cape Town,ZA,-33.9258,18.4232,60.35,83,90,4.0,moderate rain
15,Nampula,MZ,-15.1165,39.2666,64.35,100,90,4.61,light rain
16,Port Elizabeth,ZA,-33.918,25.5701,61.09,63,0,13.8,clear sky
17,Vardo,NO,70.3705,31.1107,37.42,76,79,24.16,broken clouds
18,Polunochnoye,RU,60.8697,60.4153,37.0,62,95,2.51,overcast clouds
19,Nanortalik,GL,60.1432,-45.2371,43.03,72,30,4.65,scattered clouds
20,Rundu,NA,-17.9333,19.7667,52.97,41,0,4.47,clear sky
21,Mount Gambier,AU,-37.8333,140.7667,49.91,93,90,4.61,overcast clouds
22,Cherskiy,RU,68.75,161.3,57.56,25,95,8.21,overcast clouds
23,Victoria,HK,22.2855,114.1577,87.96,83,99,1.01,overcast clouds
24,Mataura,NZ,-46.1927,168.8643,49.48,95,100,0.74,light rain
25,Bluff,NZ,-46.6,168.3333,49.8,88,100,9.06,overcast clouds
26,Prince Albert,CA,53.2001,-105.7677,66.15,27,75,20.71,broken clouds
27,Butaritari,KI,3.0707,172.7902,83.91,79,95,18.88,light rain
28,Rikitea,PF,-23.1203,-134.9692,71.44,57,64,4.18,broken clouds
29,Malaya Serdoba,RU,52.4661,44.9512,55.94,71,43,4.92,scattered clouds
30,Samarai,PG,-10.6167,150.6667,78.8,69,95,16.67,overcast clouds
31,Kodiak,US,57.79,-152.4072,54.91,62,1,6.91,clear sky
32,Tasiilaq,GL,65.6145,-37.6368,41.16,89,95,4.61,overcast clouds
33,Delvine,AL,39.9511,20.0978,63.88,58,1,5.12,clear sky
34,Bowen,AU,-20.0167,148.2333,68.22,58,2,8.39,clear sky
35,Dikson,RU,73.5069,80.5464,18.73,99,88,7.27,overcast clouds
36,Ilulissat,GL,69.2167,-51.1,55.42,28,20,12.66,few clouds
37,Hobart,AU,-42.8794,147.3294,46.92,71,40,8.99,scattered clouds
38,Barrow,US,71.2906,-156.7887,33.82,75,90,14.97,overcast clouds
39,Mar Del Plata,AR,-38.0023,-57.5575,64.0,49,0,13.0,light rain
40,Vaini,TO,-21.2,-175.2,77.16,69,20,11.5,few clouds
41,Olafsvik,IS,64.8945,-23.7142,46.24,80,0,1.86,clear sky
42,Camacupa,AO,-12.0167,17.4833,54.25,48,1,4.63,clear sky
43,Punta Arenas,CL,-53.15,-70.9167,28.51,80,0,16.69,clear sky
44,Arlit,NE,18.7369,7.3853,89.06,7,65,4.54,broken clouds
45,Port Hedland,AU,-20.3167,118.5667,75.25,43,100,9.22,overcast clouds
46,Rawson,AR,-43.3002,-65.1023,56.03,42,89,16.42,overcast clouds
47,Port Blair,IN,11.6667,92.75,81.84,81,100,7.49,overcast clouds
48,Laurel,US,39.0993,-76.8483,82.89,51,1,1.99,clear sky
49,Krasnoselkup,RU,65.7,82.4667,28.31,70,100,21.05,overcast clouds
50,Puerto Ayora,EC,-0.7393,-90.3518,75.54,92,46,5.99,scattered clouds
51,Busselton,AU,-33.65,115.3333,51.08,72,0,9.78,clear sky
52,Jakar,BT,27.5492,90.7525,56.52,100,100,2.28,overcast clouds
53,Ostrovnoy,RU,68.0531,39.5131,39.4,65,100,21.47,overcast clouds
54,Pevek,RU,69.7008,170.3133,37.58,70,55,0.98,broken clouds
55,Soanierana Ivongo,MG,-16.9167,49.5833,67.78,92,22,4.83,few clouds
56,Ushuaia,AR,-54.8,-68.3,29.86,93,75,19.57,light snow
57,Wanlaweyn,SO,2.6185,44.8938,73.29,92,87,8.66,light rain
58,Ucluelet,CA,48.9329,-125.5528,57.09,80,96,1.01,overcast clouds
59,Kenai,US,60.5544,-151.2583,63.03,64,20,29.93,few clouds
60,Coquimbo,CL,-29.9533,-71.3436,55.13,94,0,7.47,clear sky
61,Ponta Do Sol,PT,32.6667,-17.1,65.03,76,39,3.87,scattered clouds
62,Xai-Xai,MZ,-25.0519,33.6442,61.54,82,0,9.55,clear sky
63,Kapaa,US,22.0752,-159.319,84.18,71,20,4.0,few clouds
64,Matagami,CA,49.7502,-77.6328,33.91,55,90,10.8,overcast clouds
65,San Joaquin,US,37.9333,-121.3011,89.11,25,1,12.66,clear sky
66,Pangkah,ID,-6.9858,109.1693,71.98,84,26,3.78,scattered clouds
67,Nicoya,CR,10.1483,-85.452,83.75,73,98,11.83,overcast clouds
68,Hilo,US,19.7297,-155.09,84.27,71,1,11.5,clear sky
69,Magadan,RU,59.5667,150.8,39.0,93,100,4.05,overcast clouds
70,Umuahia,NG,5.5263,7.4896,73.8,94,53,4.34,broken clouds
71,Narsaq,GL,60.9167,-46.05,53.82,59,57,5.97,broken clouds
72,Upernavik,GL,72.7868,-56.1549,33.75,99,81,3.71,broken clouds
73,Bageshwar,IN,29.85,79.7667,67.39,60,100,2.8,overcast clouds
74,Prince Rupert,CA,54.3161,-130.3201,56.89,78,1,9.22,clear sky
75,Plainview,US,40.7765,-73.4673,79.48,40,40,1.99,scattered clouds
76,Bredasdorp,ZA,-34.5322,20.0403,63.28,55,96,7.67,overcast clouds
77,Chicama,PE,-7.8447,-79.1469,64.94,82,52,7.07,broken clouds
78,Saskylakh,RU,71.9167,114.0833,31.28,76,72,4.59,broken clouds
79,Carballo,ES,43.213,-8.691,60.22,93,99,1.23,overcast clouds
80,Flinders,AU,-34.5833,150.8552,57.2,62,9,4.0,clear sky
81,Rincon,US,32.296,-81.2354,91.85,51,20,9.51,few clouds
82,Saint-Augustin,CA,51.226,-58.6502,47.52,74,75,5.61,broken clouds
83,Carbonia,IT,39.1672,8.5222,61.99,50,86,3.85,overcast clouds
84,Hermanus,ZA,-34.4187,19.2345,63.81,71,90,12.5,overcast clouds
85,Bor,RU,56.3567,44.0669,61.56,96,99,3.67,overcast clouds
86,Clyde River,CA,70.4692,-68.5914,28.63,86,90,25.32,overcast clouds
87,Vestmannaeyjar,IS,63.4427,-20.2734,45.34,81,68,34.72,broken clouds
88,Porbandar,IN,21.6422,69.6093,84.54,72,84,13.98,broken clouds
89,Fairbanks,US,64.8378,-147.7164,57.38,46,90,11.5,overcast clouds
90,Darovskoy,RU,58.77,47.9564,51.94,98,85,5.28,overcast clouds
91,Oksfjord,NO,70.2396,22.3479,41.07,94,100,14.27,light rain
92,Souillac,MU,-20.5167,57.5167,74.35,94,75,6.67,broken clouds
93,Grand-Santi,GF,4.25,-54.3833,72.48,100,100,2.1,overcast clouds
94,Port Moresby,PG,-9.4431,147.1797,80.02,65,20,4.61,few clouds
95,Povenets,RU,62.8487,34.8262,42.06,93,6,4.03,clear sky
96,Am Timan,TD,11.0297,20.2827,84.61,48,74,7.83,broken clouds
97,Manokwari,ID,-0.8667,134.0833,81.59,69,42,2.15,scattered clouds
98,Atuona,PF,-9.8,-139.0333,78.96,73,12,14.23,few clouds
99,Santa Rosa,PH,14.3122,121.1114,86.09,74,97,6.6,overcast clouds
100,New Norfolk,AU,-42.7826,147.0587,46.58,66,36,3.0,scattered clouds
101,Luanda,AO,-8.8368,13.2343,75.2,94,75,9.22,broken clouds
102,Hithadhoo,MV,-0.6,73.0833,81.82,78,100,17.92,overcast clouds
103,Rabo De Peixe,PT,37.8,-25.5833,58.51,72,20,6.22,few clouds
104,Beatrice,US,40.2681,-96.747,64.38,74,90,17.0,overcast clouds
105,Sorland,NO,67.667,12.6934,44.37,73,100,9.91,overcast clouds
106,Rio Gallegos,AR,-51.6226,-69.2181,30.25,74,75,13.8,broken clouds
107,Kahului,US,20.8947,-156.47,89.62,61,40,23.02,scattered clouds
108,Araci,BR,-11.3333,-38.9667,69.71,69,22,9.17,few clouds
109,Tuatapere,NZ,-46.1333,167.6833,49.82,92,100,1.5,overcast clouds
110,Nago,JP,26.5881,127.9761,83.25,85,99,12.66,overcast clouds
111,Kupang,ID,-10.1667,123.5833,79.38,69,20,13.8,few clouds
112,Bengkulu,ID,-3.8004,102.2655,76.21,90,97,3.87,overcast clouds
